Penalty Name              Time(s) Occurred
Tripping                               394
Roughing                               334
Interference                           315
Hooking                                315
Slashing                               235
Cross-Checking                         196
Boarding                               195
Holding                                179
High-Sticking                          101
Elbowing                               100
Misconduct                              72
Hitting_from_Behind                     71
Game_Misconduct                         67
Hitting_after_Whistle                   59
Charging                                49
Too_Many_Players                        42
Unsportsmanlike_Conduct                 36
Goaltender_Interference                 30
Holding_the_Stick                       25
Contact_to_the_Head                     25
Face-Masking                            23
Checking_from_Behind                    22
Embellishment                           20
Kneeing                                 15
Disqualification                         7
Delay_of_Game                            7
Charging_the_Goalie                      4
Diving                                   3
Spearing                                 2
Checking                                 2
Leaving_Bench                            1
Kicking                                  1
Handling_Puck_with_Hands                 1
Clipping                                 1
Butt-Ending                              1
